"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE 
 (₹ Crores)","52W H 
","52W L 
","30 D   %CHNG 
","365 D % CHNG 
 07-Jul-2023"
"NIFTY MIDCAP 100","57,294.40","57,339.90","56,706.15","57,089.45","56,888.20","-201.25","-0.35","1,91,08,66,747","34,006.28","57,339.90","36,192.70","7.32","58.24"
"RVNL","508.00","578.95","508.00","491.05","567.50","76.45","15.57","17,83,60,632","9,901.69","578.95","117.05","31.10","302.83"
"FACT","1,025.05","1,118.95","1,020.00","1,017.25","1,118.95","101.70","10.00","43,86,234","476.15","1,187.00","413.15","45.31","116.83"
"PAYTM","440.20","479.90","440.20","436.55","472.95","36.40","8.34","1,26,98,807","592.27","998.30","310.00","14.49","-48.68"
"BHEL","317.30","329.95","315.55","316.40","329.50","13.10","4.14","4,56,85,018","1,482.43","329.95","89.25","10.82","245.41"
"TIINDIA","4,254.00","4,405.00","4,171.10","4,231.80","4,404.00","172.20","4.07","2,71,201","115.58","4,424.90","2,758.00","7.66","32.83"
"ALKEM","5,090.00","5,243.70","5,063.00","5,063.55","5,230.00","166.45","3.29","2,72,224","140.70","5,578.80","3,447.00","2.17","45.06"
"GMRINFRA","96.23","99.40","95.00","96.23","99.19","2.96","3.08","2,42,69,090","235.94","101.25","43.55","10.99","113.13"
"SONACOMS","656.45","681.90","656.00","656.90","674.85","17.95","2.73","15,06,819","101.50","718.85","488.10","-1.14","22.72"
"GLAND","1,845.00","1,892.00","1,834.70","1,839.75","1,883.10","43.35","2.36","3,37,309","63.25","2,194.00","1,042.00","-0.97","75.86"
"OIL","492.90","517.95","490.05","489.50","501.00","11.50","2.35","53,73,870","270.41","517.95","166.17","-20.43","93.33"
"POLICYBZR","1,381.15","1,438.40","1,380.30","1,379.45","1,410.00","30.55","2.21","15,50,003","218.34","1,543.00","661.30","6.76","96.40"
"MAXHEALTH","925.00","936.00","914.90","913.80","924.90","11.10","1.21","21,48,540","199.38","979.90","508.50","10.48","49.83"
"GUJGASLTD","649.00","655.55","639.00","644.40","652.00","7.60","1.18","7,12,832","46.22","663.40","397.05","9.46","35.12"
"LALPATHLAB","2,889.60","2,939.10","2,868.00","2,885.00","2,918.00","33.00","1.14","3,62,483","105.17","2,939.10","1,943.70","3.10","22.27"
"FEDERALBNK","187.10","189.30","185.27","186.19","188.30","2.11","1.13","1,74,05,153","326.76","189.30","126.45","12.81","37.77"
"M&MFIN","302.20","305.35","298.00","300.50","303.50","3.00","1.00","19,16,725","57.90","345.00","237.35","6.39","-8.61"
"GODREJPROP","3,298.00","3,325.00","3,254.80","3,281.70","3,305.35","23.65","0.72","6,79,741","223.70","3,358.05","1,495.30","14.20","107.46"
"VOLTAS","1,452.75","1,479.00","1,439.05","1,452.75","1,462.95","10.20","0.70","15,37,206","223.72","1,560.00","745.00","0.09","91.09"
"LUPIN","1,770.20","1,785.25","1,760.25","1,770.20","1,781.50","11.30","0.64","14,57,380","258.42","1,785.25","889.75","8.63","96.56"
"IGL","525.95","526.90","516.85","522.30","525.50","3.20","0.61","20,57,831","107.65","537.50","375.70","11.84","5.45"
"JSWENERGY","742.80","746.85","732.45","736.60","741.10","4.50","0.61","9,04,143","66.96","752.00","283.25","17.68","140.21"
"SJVN","143.30","147.50","142.00","142.17","142.88","0.71","0.50","3,03,88,072","438.59","170.50","44.10","6.61","196.81"
"PAGEIND","39,590.00","39,600.00","38,850.00","39,410.35","39,590.00","179.65","0.46","32,294","126.66","42,885.00","33,070.05","2.77","7.79"
"BANKINDIA","120.60","121.20","119.50","120.45","120.94","0.49","0.41","73,63,153","88.75","157.95","76.75","-0.50","51.03"
"ACC","2,670.10","2,708.25","2,661.50","2,669.50","2,680.00","10.50","0.39","3,59,425","96.48","2,844.00","1,762.65","6.82","49.01"
"SAIL","156.50","158.00","154.21","155.61","156.21","0.60","0.39","3,32,90,711","520.10","175.35","81.80","1.87","79.27"
"AUROPHARMA","1,305.10","1,327.70","1,285.75","1,303.55","1,308.45","4.90","0.38","14,86,444","193.57","1,327.70","720.55","3.04","74.83"
"DEEPAKNTR","2,700.00","2,726.10","2,670.05","2,687.80","2,695.00","7.20","0.27","3,81,917","102.87","2,739.00","1,900.20","17.78","30.33"
"SYNGENE","730.05","735.75","723.70","731.95","733.70","1.75","0.24","9,67,842","70.67","860.25","607.65","5.29","-4.01"
"JUBLFOOD","570.00","577.00","564.10","570.55","571.90","1.35","0.24","20,15,301","115.08","586.95","421.05","10.04","15.67"
"BHARATFORG","1,682.95","1,693.25","1,646.25","1,672.25","1,675.10","2.85","0.17","14,98,080","249.70","1,804.50","839.00","5.62","98.38"
"LODHA","1,548.00","1,556.90","1,530.10","1,533.90","1,536.00","2.10","0.14","12,02,449","186.24","1,649.95","641.05","7.02","118.93"
"PETRONET","337.05","339.50","333.10","337.40","337.70","0.30","0.09","19,14,779","64.39","341.00","191.70","12.00","46.82"
"DALBHARAT","1,855.00","1,865.40","1,843.60","1,858.15","1,858.00","-0.15","-0.01","1,69,273","31.40","2,430.70","1,651.40","2.66","-13.44"
"COFORGE","5,917.95","5,975.35","5,752.65","5,870.15","5,868.00","-2.15","-0.04","7,50,011","440.22","6,847.45","4,287.25","8.08","25.12"
"MRF","1,29,174.00","1,31,230.50","1,28,058.95","1,28,951.05","1,28,900.05","-51.00","-0.04","20,120","261.14","1,51,445.00","1,00,043.50","1.31","27.39"
"KALYANKJIL","497.75","501.90","490.00","495.30","495.10","-0.20","-0.04","14,26,120","70.59","546.00","147.30","21.44","204.71"
"KPITTECH","1,693.95","1,700.90","1,653.75","1,693.95","1,693.00","-0.95","-0.06","8,36,199","140.01","1,774.10","961.00","11.10","56.93"
"DIXON","12,549.00","12,638.95","12,381.20","12,505.95","12,498.00","-7.95","-0.06","2,19,539","274.11","12,879.00","3,953.00","25.25","194.67"
"ZEEL","151.10","152.65","148.50","151.10","151.00","-0.10","-0.07","89,87,253","135.04","299.70","125.50","-3.30","-26.70"
"BALKRISIND","3,188.00","3,210.00","3,110.00","3,177.50","3,175.25","-2.25","-0.07","3,62,156","114.74","3,363.95","2,193.80","-0.76","33.00"
"APOLLOTYRE","527.10","533.50","520.00","524.35","523.70","-0.65","-0.12","20,84,124","109.84","557.90","365.00","8.10","25.40"
"LTTS","5,150.00","5,160.00","5,067.05","5,125.40","5,117.40","-8.00","-0.16","1,40,578","71.75","5,873.35","3,821.70","6.78","29.98"
"BANDHANBNK","202.46","205.22","201.11","204.33","204.00","-0.33","-0.16","87,68,558","177.96","263.10","169.15","3.96","-11.26"
"SUNTV","784.75","787.85","771.15","784.55","783.00","-1.55","-0.20","4,74,534","37.00","799.85","442.00","8.91","69.71"
"CGPOWER","782.40","783.75","765.45","772.20","770.50","-1.70","-0.22","24,40,823","189.38","783.75","359.20","16.37","99.82"
"IPCALAB","1,192.75","1,200.20","1,181.65","1,192.75","1,190.00","-2.75","-0.23","1,56,248","18.60","1,374.60","747.50","1.97","57.09"
"NHPC","104.50","106.70","103.25","103.82","103.49","-0.33","-0.32","6,97,92,078","731.84","118.00","44.85","0.60","125.21"
"LAURUSLABS","480.00","482.75","464.15","477.15","475.55","-1.60","-0.34","41,53,538","196.52","482.75","328.15","9.00","30.74"
"TATAELXSI","7,061.00","7,095.95","7,012.40","7,054.45","7,028.00","-26.45","-0.37","84,065","59.10","9,200.00","6,411.20","-0.92","-6.46"
"PIIND","3,765.15","3,795.10","3,730.10","3,788.50","3,774.00","-14.50","-0.38","4,75,219","178.50","4,040.00","3,220.00","4.01","0.61"
"MFSL","1,002.00","1,006.70","989.10","996.10","992.25","-3.85","-0.39","5,68,553","56.72","1,092.00","763.00","6.32","24.17"
"DELHIVERY","397.45","397.80","389.05","395.55","393.95","-1.60","-0.40","17,71,791","69.57","488.00","354.20","2.61","0.50"
"PEL","935.20","936.85","920.50","935.20","930.00","-5.20","-0.56","6,58,129","61.05","1,139.95","736.60","14.32","0.92"
"SUZLON","55.95","56.00","54.50","55.49","55.17","-0.32","-0.58","5,45,88,551","302.91","56.49","16.65","-","210.87"
"NYKAA","177.90","182.10","176.00","177.20","176.10","-1.10","-0.62","90,35,015","161.23","195.50","130.10","4.30","25.67"
"TATATECH","1,014.85","1,015.75","1,003.00","1,010.35","1,004.00","-6.35","-0.63","4,59,742","46.25","1,400.00","982.25","-4.81","-"
"MPHASIS","2,635.00","2,652.00","2,589.85","2,628.90","2,611.50","-17.40","-0.66","10,79,731","282.17","2,837.60","1,850.00","6.35","40.02"
"UPL","572.70","574.80","562.15","572.70","568.80","-3.90","-0.68","26,95,359","152.75","676.00","447.80","6.10","-13.62"
"IDBI","85.00","85.45","84.01","84.82","84.20","-0.62","-0.73","44,45,684","37.68","98.70","56.55","-0.85","47.64"
"MAHABANK","63.81","64.00","63.05","63.77","63.28","-0.49","-0.77","87,02,792","55.18","73.50","29.85","-4.32","99.28"
"NMDC","253.19","253.40","249.50","252.28","250.31","-1.97","-0.78","88,98,452","223.58","286.35","106.40","-2.41","136.00"
"BSE","2,410.00","2,420.00","2,356.00","2,405.35","2,385.00","-20.35","-0.85","5,96,342","141.84","3,264.70","671.50","-10.31","240.03"
"OFSS","10,478.90","10,500.00","10,320.85","10,425.45","10,336.10","-89.35","-0.86","83,115","86.36","10,529.95","3,737.25","24.02","173.89"
"ESCORTS","4,141.40","4,171.20","4,024.00","4,130.75","4,095.00","-35.75","-0.87","2,02,631","82.84","4,409.55","2,192.00","3.58","86.67"
"INDHOTEL","615.00","616.10","604.10","614.50","608.55","-5.95","-0.97","50,74,219","308.37","662.95","371.60","5.02","60.67"
"BIOCON","371.00","373.85","365.40","370.20","366.50","-3.70","-1.00","50,22,489","185.44","373.85","217.50","10.18","45.78"
"APLAPOLLO","1,570.00","1,576.90","1,545.00","1,569.65","1,553.00","-16.65","-1.06","4,14,368","64.51","1,800.00","1,301.00","-3.41","19.12"
"FORTIS","464.00","471.70","453.40","461.65","456.70","-4.95","-1.07","16,50,173","76.61","509.85","308.50","-0.89","41.70"
"POONAWALLA","434.00","436.95","421.00","428.70","423.75","-4.95","-1.15","60,16,488","256.78","519.70","336.30","-7.91","18.51"
"HINDPETRO","332.55","336.20","326.15","332.45","328.50","-3.95","-1.19","99,73,397","329.86","396.53","159.47","-36.54","8.66"
"POLYCAB","6,639.00","6,675.00","6,535.00","6,634.10","6,549.80","-84.30","-1.27","5,60,888","369.47","7,331.45","3,491.00","-3.10","89.10"
"CONCOR","1,063.95","1,064.70","1,033.80","1,057.90","1,043.75","-14.15","-1.34","26,04,978","272.75","1,180.00","645.90","0.29","57.74"
